NU_ANO_CENSO,ID_MATRICULA,CO_PESSOA_FISICA,NU_DIA,NU_MES,NU_ANO,NU_IDADE_REFERENCIA,NU_IDADE,NU_DURACAO_TURMA,NU_DUR_ATIV_COMP_MESMA_REDE,NU_DUR_ATIV_COMP_OUTRAS_REDES,NU_DUR_AEE_MESMA_REDE,NU_DUR_AEE_OUTRAS_REDES,NU_DIAS_ATIVIDADE,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,CO_PAIS_ORIGEM,CO_UF_NASC,CO_MUNICIPIO_NASC,CO_UF_END,CO_MUNICIPIO_END,TP_ZONA_RESIDENCIAL,TP_OUTRO_LOCAL_AULA,IN_TRANSPORTE_PUBLICO,TP_RESPONSAVEL_TRANSPORTE,IN_TRANSP_VANS_KOMBI,IN_TRANSP_MICRO_ONIBUS,IN_TRANSP_ONIBUS,IN_TRANSP_BICICLETA,IN_TRANSP_TR_ANIMAL,IN_TRANSP_OUTRO_VEICULO,IN_TRANSP_EMBAR_ATE5,IN_TRANSP_EMBAR_5A15,IN_TRANSP_EMBAR_15A35,IN_TRANSP_EMBAR_35,IN_TRANSP_TREM_METRO,IN_NECESSIDADE_ESPECIAL,IN_CEGUEIRA,IN_BAIXA_VISAO,IN_SURDEZ,IN_DEF_AUDITIVA,IN_SURDOCEGUEIRA,IN_DEF_FISICA,IN_DEF_INTELECTUAL,IN_DEF_MULTIPLA,IN_AUTISMO,IN_SINDROME_ASPERGER,IN_SINDROME_RETT,IN_TRANSTORNO_DI,IN_SUPERDOTACAO,IN_RECURSO_LEDOR,IN_RECURSO_TRANSCRICAO,IN_RECURSO_INTERPRETE,IN_RECURSO_LIBRAS,IN_RECURSO_LABIAL,IN_RECURSO_BRAILLE,IN_RECURSO_AMPLIADA_16,IN_RECURSO_AMPLIADA_20,IN_RECURSO_AMPLIADA_24,IN_RECURSO_NENHUM,TP_INGRESSO_FEDERAIS,TP_MEDIACAO_DIDATICO_PEDAGO,IN_ESPECIAL_EXCLUSIVA,IN_REGULAR,IN_EJA,IN_PROFISSIONALIZANTE,TP_ETAPA_ENSINO,ID_TURMA,CO_CURSO_EDUC_PROFISSIONAL,TP_UNIFICADA,TP_TIPO_TURMA,CO_ENTIDADE,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_CATEGORIA_ESCOLA_PRIVADA,IN_CONVENIADA_PP,TP_CONVENIO_PODER_PUBLICO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,TP_REGULAMENTACAO,TP_LOCALIZACAO_DIFERENCIADA,IN_EDUCACAO_INDIGENA
2017,267225876,120993105806,24,8,2005,11,12,320,0,0,0,0,5,2,1,1,76,35,3543907,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225884,120992963671,25,11,2005,11,12,320,0,0,0,0,5,2,1,1,76,35,3543907,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225894,120994182413,16,1,2001,16,16,320,0,0,0,0,5,2,1,1,76,35,3543907,0,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41,11122546,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225901,120993155900,16,5,2005,12,12,320,0,0,0,0,5,2,1,1,76,35,3543907,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225920,121718510313,22,11,2005,11,12,320,0,0,0,0,5,1,1,1,76,35,3543907,0,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225921,121718474171,29,3,2006,11,11,320,0,0,0,0,5,1,2,1,76,35,3543907,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225935,121659125129,5,12,2005,11,12,320,0,0,0,0,5,2,1,1,76,35,3543907,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225951,116579699590,16,5,2002,15,15,320,0,0,0,0,5,2,1,1,76,27,2706703,0,0,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41,11122546,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225966,117264799602,27,6,2002,14,15,320,0,0,0,0,5,1,3,1,76,29,2932903,0,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41,11122548,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
2017,267225967,119026355318,8,7,2005,11,12,320,0,0,0,0,5,1,3,1,76,35,3550308,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,11122554,0,0,0,35021573,3,3506,35026,35,3543907,354390705,2,1,0,0,0,0,0,0,0,0,1,0,0
